state_id,district_id,block_id,cluster_id,school_id
12,101,10101,101010111,1000000000
12,101,10101,101010111,1000000001
12,101,10101,101010111,1000000002
12,101,10101,101010111,1000000003
12,101,10101,101010111,1000000004
12,101,10101,101010111,1000000005
12,101,10101,101010111,1000000006
12,101,10101,101010111,1000000007
12,101,10101,101010111,1000000008
12,101,10101,101010112,1000000009
12,101,10101,101010112,1000000010
12,101,10101,101010112,1000000011
12,101,10101,101010112,1000000012
12,101,10101,101010113,1000000013
12,101,10101,101010113,1000000014
12,101,10101,101010113,1000000015
12,101,10101,101010113,1000000016
12,101,10101,101010113,1000000017
12,101,10101,101010113,1000000018
12,101,10101,101010113,1000000019
12,101,10101,101010114,1000000020
12,101,10101,101010114,1000000021
12,101,10101,101010114,1000000022
12,101,10101,101010114,1000000023
12,101,10101,101010114,1000000024
12,101,10101,101010114,1000000025
12,101,10101,101010115,1000000026
12,101,10101,101010115,1000000027
12,101,10101,101010115,1000000028
12,101,10101,101010115,1000000029
12,101,10101,101010115,1000000030
12,101,10101,101010115,1000000031
12,101,10101,101010115,1000000032
12,101,10102,101020111,1000000033
12,101,10102,101020111,1000000034
12,101,10102,101020111,1000000035
12,101,10102,101020111,1000000036
12,101,10102,101020111,1000000037
12,101,10102,101020111,1000000038
12,101,10102,101020112,1000000039
12,101,10102,101020112,1000000040
12,101,10102,101020112,1000000041
12,101,10102,101020112,1000000042
12,101,10102,101020112,1000000043
12,101,10102,101020112,1000000044
12,101,10102,101020112,1000000045
12,101,10102,101020113,1000000046
12,101,10102,101020113,1000000047
12,101,10102,101020113,1000000048
12,101,10102,101020113,1000000049
12,101,10102,101020113,1000000050
12,101,10102,101020113,1000000051
12,101,10102,101020113,1000000052
12,101,10102,101020114,1000000053
12,101,10102,101020114,1000000054
12,101,10102,101020114,1000000055
12,101,10102,101020114,1000000056
12,101,10102,101020114,1000000057
12,101,10102,101020115,1000000058
12,101,10102,101020115,1000000059
12,101,10102,101020115,1000000060
12,101,10102,101020115,1000000061
12,101,10102,101020115,1000000062
12,101,10102,101020115,1000000063
12,101,10102,101020115,1000000064
12,101,10103,101030111,1000000065
12,101,10103,101030111,1000000066
12,101,10103,101030111,1000000067
12,101,10103,101030111,1000000068
12,101,10103,101030111,1000000069
12,101,10103,101030112,1000000070
12,101,10103,101030112,1000000071
12,101,10103,101030112,1000000072
12,101,10103,101030112,1000000073
12,101,10103,101030112,1000000074
12,101,10103,101030112,1000000075
12,101,10103,101030113,1000000076
12,101,10103,101030113,1000000077
12,101,10103,101030113,1000000078
12,101,10103,101030113,1000000079
12,101,10103,101030113,1000000080
12,101,10103,101030113,1000000081
12,101,10103,101030113,1000000082
12,101,10103,101030114,1000000083
12,101,10103,101030114,1000000084
12,101,10103,101030114,1000000085
12,101,10103,101030114,1000000086
12,101,10103,101030114,1000000087
12,101,10103,101030114,1000000088
12,101,10103,101030114,1000000089
12,101,10103,101030115,1000000090
12,101,10103,101030115,1000000091
12,101,10103,101030115,1000000092
12,101,10103,101030115,1000000093
12,101,10103,101030115,1000000094
12,101,10104,101040111,1000000095
12,101,10104,101040111,1000000096
12,101,10104,101040111,1000000097
12,101,10104,101040111,1000000098
12,101,10104,101040111,1000000099
12,101,10104,101040112,1000000100
12,101,10104,101040112,1000000101
12,101,10104,101040112,1000000102
12,101,10104,101040112,1000000103
12,101,10104,101040113,1000000104
12,101,10104,101040113,1000000105
12,101,10104,101040113,1000000106
12,101,10104,101040113,1000000107
12,101,10104,101040114,1000000108
12,101,10104,101040114,1000000109
12,101,10104,101040114,1000000110
12,101,10104,101040114,1000000111
12,101,10104,101040115,1000000112
12,101,10104,101040115,1000000113
12,101,10104,101040115,1000000114
12,101,10104,101040115,1000000115
12,101,10104,101040115,1000000116
12,101,10104,101040115,1000000117
12,101,10104,101040115,1000000118
12,101,10105,101050111,1000000119
12,101,10105,101050111,1000000120
12,101,10105,101050111,1000000121
12,101,10105,101050111,1000000122
12,101,10105,101050111,1000000123
12,101,10105,101050111,1000000124
12,101,10105,101050111,1000000125
12,101,10105,101050112,1000000126
12,101,10105,101050112,1000000127
12,101,10105,101050112,1000000128
12,101,10105,101050112,1000000129
12,101,10105,101050112,1000000130
12,101,10105,101050112,1000000131
12,101,10105,101050112,1000000132
12,101,10105,101050113,1000000133
12,101,10105,101050113,1000000134
12,101,10105,101050113,1000000135
12,101,10105,101050113,1000000136
12,101,10105,101050113,1000000137
12,101,10105,101050113,1000000138
12,101,10105,101050113,1000000139
12,101,10105,101050113,1000000140
12,101,10105,101050114,1000000141
12,101,10105,101050114,1000000142
12,101,10105,101050114,1000000143
12,101,10105,101050114,1000000144
12,101,10105,101050114,1000000145
12,101,10105,101050114,1000000146
12,101,10105,101050115,1000000147
12,101,10105,101050115,1000000148
12,101,10105,101050115,1000000149
12,101,10105,101050115,1000000150
12,101,10105,101050115,1000000151
12,102,10201,102010111,1000000152
12,102,10201,102010111,1000000153
12,102,10201,102010111,1000000154
12,102,10201,102010111,1000000155
12,102,10201,102010111,1000000156
12,102,10201,102010112,1000000157
12,102,10201,102010112,1000000158
12,102,10201,102010112,1000000159
12,102,10201,102010112,1000000160
12,102,10201,102010112,1000000161
12,102,10201,102010113,1000000162
12,102,10201,102010113,1000000163
12,102,10201,102010113,1000000164
12,102,10201,102010113,1000000165
12,102,10201,102010113,1000000166
12,102,10201,102010114,1000000167
12,102,10201,102010114,1000000168
12,102,10201,102010114,1000000169
12,102,10201,102010114,1000000170
12,102,10201,102010114,1000000171
12,102,10201,102010115,1000000172
12,102,10201,102010115,1000000173
12,102,10201,102010115,1000000174
12,102,10201,102010115,1000000175
12,102,10201,102010115,1000000176
12,102,10201,102010115,1000000177
12,102,10201,102010115,1000000178
12,102,10202,102020111,1000000179
12,102,10202,102020111,1000000180
12,102,10202,102020111,1000000181
12,102,10202,102020111,1000000182
12,102,10202,102020111,1000000183
12,102,10202,102020112,1000000184
12,102,10202,102020112,1000000185
12,102,10202,102020112,1000000186
12,102,10202,102020112,1000000187
12,102,10202,102020112,1000000188
12,102,10202,102020112,1000000189
12,102,10202,102020113,1000000190
